time       epoch       loss   val_loss
09:22:11     827   0.110906   0.255534
09:22:57     828   0.109931   0.227243
09:23:42     829   0.112944   0.235184
09:24:28     830   0.109020   0.220355
09:25:13     831   0.111592   0.266589
09:25:58     832   0.112575   0.224716
09:26:44     833   0.109123   0.222947
09:27:29     834   0.109184   0.229910
09:28:14     835   0.110342   0.222403
09:29:00     836   0.110004   0.234146
09:29:45     837   0.109833   0.233161
09:30:29     838   0.107955   0.240274
09:31:14     839   0.112377   0.239227
09:32:00     840   0.109570   0.240115
09:32:44     841   0.109204   0.226457
09:33:30     842   0.109625   0.233124
09:34:15     843   0.108264   0.241166
09:34:59     844   0.108523   0.231831
09:35:45     845   0.109724   0.234411
09:36:30     846   0.109979   0.234648
09:37:16     847   0.109810   0.236685
09:38:02     848   0.107827   0.223815
09:38:46     849   0.107475   0.240093
09:39:31     850   0.108932   0.245688
09:40:16     851   0.109046   0.240315
09:41:02     852   0.108914   0.236474
09:41:47     853   0.107333   0.242452
09:42:32     854   0.109688   0.246546
09:43:17     855   0.110020   0.237178
09:44:03     856   0.106992   0.223809
09:44:48     857   0.110800   0.233355
09:45:33     858   0.108500   0.231716
09:46:19     859   0.111023   0.243287
09:47:04     860   0.109060   0.235861
09:47:48     861   0.107735   0.237348
09:48:33     862   0.106799   0.238021
09:49:18     863   0.107650   0.241802
09:50:04     864   0.109687   0.226121
09:50:49     865   0.106010   0.247095
09:51:35     866   0.107836   0.241141
09:52:20     867   0.107592   0.223128
09:53:04     868   0.111972   0.231029
09:53:49     869   0.108109   0.230918
09:54:35     870   0.106435   0.244789
09:55:20     871   0.104379   0.226750
09:56:05     872   0.107532   0.235231
09:56:49     873   0.108084   0.246317
09:57:34     874   0.106661   0.238788
09:58:20     875   0.105572   0.247325
09:59:05     876   0.107121   0.228496
09:59:51     877   0.107416   0.242484
10:00:36     878   0.106895   0.241614
10:01:21     879   0.104459   0.237937
10:02:07     880   0.106761   0.231292
10:02:51     881   0.106133   0.250785
10:03:36     882   0.108478   0.237890
10:04:22     883   0.106297   0.257388
10:05:06     884   0.109022   0.223628
10:05:52     885   0.106988   0.254678
10:06:37     886   0.104499   0.244247
10:07:21     887   0.106689   0.242365
10:08:07     888   0.104340   0.249999
10:08:52     889   0.104999   0.235823
10:09:37     890   0.107481   0.239636
10:10:22     891   0.105651   0.249506
10:11:07     892   0.103910   0.238754
10:11:52     893   0.105619   0.231846
10:12:37     894   0.106756   0.227245
10:13:22     895   0.105684   0.242299
10:14:08     896   0.104853   0.230506
10:14:52     897   0.104355   0.251077
10:15:37     898   0.106817   0.227786
10:16:22     899   0.104408   0.242947
10:17:07     900   0.104748   0.238236
10:17:53     901   0.104179   0.243702
10:18:38     902   0.106790   0.259255
10:19:23     903   0.105598   0.245619
10:20:09     904   0.104921   0.255672
10:20:54     905   0.105976   0.237252
10:21:39     906   0.106325   0.232347
10:22:23     907   0.106692   0.249507
10:23:09     908   0.104119   0.245793
10:23:53     909   0.103815   0.242493
10:24:39     910   0.106252   0.257161
10:25:25     911   0.105296   0.214038
10:26:10     912   0.103448   0.247556
10:26:56     913   0.104232   0.241050
10:27:41     914   0.104091   0.240257
10:28:27     915   0.104161   0.228819
10:29:12     916   0.103414   0.228350
10:29:57     917   0.105382   0.236241
10:30:43     918   0.104892   0.239330
10:31:28     919   0.102528   0.233022
10:32:13     920   0.103176   0.229257
10:32:59     921   0.104169   0.229893
10:33:44     922   0.103511   0.222509
10:34:30     923   0.102546   0.238291
10:35:15     924   0.107446   0.235514
10:36:01     925   0.103665   0.242963
10:36:47     926   0.102994   0.235612
10:37:33     927   0.106511   0.253244
10:38:19     928   0.104689   0.238316
10:39:03     929   0.102324   0.234007
10:39:49     930   0.101051   0.239268
10:40:33     931   0.103583   0.247792
10:41:17     932   0.102739   0.243259
10:42:03     933   0.103985   0.262593
10:42:48     934   0.104179   0.233766
10:43:33     935   0.103327   0.230030
10:44:18     936   0.103242   0.232459
10:45:04     937   0.101373   0.239429
10:45:49     938   0.102644   0.234120
10:46:35     939   0.104400   0.246388
10:47:20     940   0.103143   0.246559
10:48:05     941   0.100843   0.251220
10:48:50     942   0.103693   0.243696
10:49:36     943   0.103226   0.243606
10:50:21     944   0.102019   0.225446
10:51:07     945   0.102009   0.237075
10:51:52     946   0.103928   0.249058
10:52:37     947   0.101189   0.241531
10:53:23     948   0.102840   0.234920
10:54:08     949   0.101891   0.254866
10:54:54     950   0.101915   0.242364
10:55:39     951   0.101990   0.251697
10:56:24     952   0.101001   0.241482
10:57:09     953   0.101450   0.261783
10:57:54     954   0.103728   0.238155
10:58:40     955   0.101476   0.242860
10:59:25     956   0.102693   0.241657
11:00:10     957   0.101559   0.230441
11:00:55     958   0.100429   0.240544
11:01:39     959   0.104892   0.240156
11:02:24     960   0.101262   0.233792
11:03:09     961   0.098650   0.254525
11:03:55     962   0.102465   0.247073
11:04:41     963   0.101979   0.233602
11:05:26     964   0.099924   0.236068
11:06:11     965   0.101378   0.242438
11:06:56     966   0.100197   0.249647
11:07:42     967   0.099891   0.243710
11:08:27     968   0.100437   0.236274
11:09:12     969   0.101366   0.245275
11:09:58     970   0.100899   0.254993
11:10:42     971   0.101994   0.238282
11:11:27     972   0.099333   0.262462
11:12:12     973   0.099153   0.247414
